
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="MTBS_count_10",="MTBS_count_10",="ma3_major_n_clearcut_srs",="MTBS_count_10",="MTBS_count_10",="ma3_major_n_thin_srs",="MTBS_count_10",="MTBS_count_10"

="ma3_major_n_clearcut_srs",="-0.445***",="-7.09e-08",="",="",="",="",="-0.388***",=""
="",="(0.0830)",="(0.00136)",="",="",="",="",="(0.0824)",=""

="vdp_MAX_10",="0.0118***",="0.0118***",="0.0000626",="0.0117***",="0.0118***",="0.0000650",="0.0118***",="0.0118***"
="",="(0.000685)",="(0.000682)",="(0.0000979)",="(0.000678)",="(0.000682)",="(0.0000749)",="(0.000680)",="(0.000680)"

="TPA",="-0.00894***",="0.000484**",="-0.0210***",="-0.000188",="0.000479**",="-0.00367***",="-0.00833***",="-0.00830***"
="",="(0.00177)",="(0.000234)",="(0.000551)",="(0.000296)",="(0.000234)",="(0.000354)",="(0.00174)",="(0.00174)"

="SAW_CF_ACRE",="-0.00443***",="-0.000560",="-0.00924***",="-0.00134",="-0.000566",="-0.00409***",="-0.00462***",="-0.00469***"
="",="(0.00137)",="(0.000881)",="(0.00164)",="(0.000953)",="(0.000882)",="(0.00140)",="(0.00133)",="(0.00133)"

="STDAGE",="-0.00509***",="-0.000644",="-0.00995***",="0.000997",="-0.000632",="0.00871***",="-0.00306***",="-0.00306***"
="",="(0.00102)",="(0.000479)",="(0.000768)",="(0.000644)",="(0.000481)",="(0.000541)",="(0.00113)",="(0.00113)"

="percent_arti",="-0.0530***",="0.00506*",="-0.138***",="0.0129***",="0.00512*",="0.0112**",="-0.0386***",="-0.0381***"
="",="(0.0116)",="(0.00264)",="(0.00691)",="(0.00344)",="(0.00265)",="(0.00441)",="(0.0118)",="(0.0117)"

="SLOPE",="0.000114",="-0.0000750",="0.000457***",="-0.0000923",="-0.0000752",="-0.0000756",="0.0000749",="0.0000740"
="",="(0.000125)",="(0.0000986)",="(0.000133)",="(0.0000988)",="(0.0000986)",="(0.0000727)",="(0.000120)",="(0.000120)"

="ELEV",="-0.00213",="0.00442",="-0.0148**",="0.00427",="0.00442",="-0.000713",="-0.00142",="-0.00140"
="",="(0.00648)",="(0.00594)",="(0.00597)",="(0.00595)",="(0.00594)",="(0.000599)",="(0.00639)",="(0.00639)"

="BIO_GROW_AC",="-0.00168***",="-0.000988***",="-0.00124***",="0.000244",="-0.000979***",="0.00570***",="-0.000500",="-0.000478"
="",="(0.000383)",="(0.000352)",="(0.000415)",="(0.000540)",="(0.000353)",="(0.000915)",="(0.000524)",="(0.000525)"

="estabs",="0.000695*",="0.000756**",="-0.000111",="0.000646*",="0.000756**",="-0.000174",="0.000605",="0.000600"
="",="(0.000386)",="(0.000367)",="(0.000244)",="(0.000375)",="(0.000367)",="(0.000193)",="(0.000389)",="(0.000390)"

="rddist_ft",="0.000880",="-0.0000910",="0.00232*",="-0.000272",="-0.0000923",="-0.00101",="0.000595",="0.000605"
="",="(0.00187)",="(0.00176)",="(0.00128)",="(0.00176)",="(0.00176)",="(0.000998)",="(0.00184)",="(0.00184)"

="SITECLCD=1",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="SITECLCD=2",="-0.000607",="0.0110",="-0.0290*",="0.0195**",="0.0110",="0.0452***",="0.00844",="0.00825"
="",="(0.0108)",="(0.00751)",="(0.0161)",="(0.00805)",="(0.00751)",="(0.00984)",="(0.0106)",="(0.0106)"

="SITECLCD=3",="-0.00367",="0.00751",="-0.0267*",="0.0129*",="0.00755",="0.0273***",="0.00254",="0.00262"
="",="(0.0104)",="(0.00711)",="(0.0151)",="(0.00738)",="(0.00711)",="(0.00671)",="(0.0100)",="(0.0100)"

="SITECLCD=4",="-0.00824",="0.00639",="-0.0330**",="0.00992",="0.00642",="0.0176***",="-0.00323",="-0.00320"
="",="(0.0103)",="(0.00691)",="(0.0147)",="(0.00712)",="(0.00691)",="(0.00594)",="(0.00987)",="(0.00986)"

="SITECLCD=5",="-0.00933",="0.00468",="-0.0307**",="0.00617",="0.00470",="0.00959",="-0.00622",="-0.00623"
="",="(0.0102)",="(0.00688)",="(0.0146)",="(0.00708)",="(0.00688)",="(0.00587)",="(0.00973)",="(0.00972)"

="SITECLCD=6",="-0.0152",="-0.000527",="-0.0325**",="0.000336",="-0.000521",="0.00614",="-0.0126",="-0.0125"
="",="(0.0104)",="(0.00697)",="(0.0147)",="(0.00717)",="(0.00697)",="(0.00604)",="(0.00993)",="(0.00992)"

="SITECLCD=7",="-0.00538",="0.00717",="-0.0288*",="0.00782",="0.00717",="0.00570",="-0.00320",="-0.00320"
="",="(0.0135)",="(0.0109)",="(0.0152)",="(0.0110)",="(0.0109)",="(0.00612)",="(0.0131)",="(0.0131)"

